day,depth,distance,gap,hour,id,latitude,longitude,magnitude,minute,month,area,second,significance,time.full,year
27,26.5,1.348,248,3,us10006aa8,53.302,-163.5048,2.5,22,7,Alaska,28,96,7/27/2016 3:22,2016
27,120.9,0.182358,57.59999539,17,ak13809864,59.556,-153.5477,2.5,39,7,Alaska,37,96,7/27/2016 17:39,2016
27,19.98,0.1677,242,19,nc72667156,40.2971667,-124.5011667,2.5,22,7,California,24,96,7/27/2016 19:22,2016
28,3.9,0.9055018,226.7999819,12,ak13814999,52.7936,-166.8035,2.5,49,7,Alaska,49,96,7/28/2016 12:49,2016
28,13.8,0.8965187,237.599981,13,ak13815003,52.778,-166.8498,2.5,11,7,Alaska,6,96,7/28/2016 13:11,2016
28,37.6,0.8228568,215.9999827,14,ak13815012,51.5772,-173.3847,2.5,31,7,Alaska,37,96,7/28/2016 14:31,2016
28,66.8,0.7707545,215.9999827,15,ak13815018,51.5063,-173.9599,2.5,1,7,Alaska,32,96,7/28/2016 15:01,2016
28,4,0.1805614,93.59999251,22,ak13816028,56.9929,-157.7649,2.5,39,7,Alaska,54,96,7/28/2016 22:39,2016
29,91,1.01868953,280.8,8,pr16211006,19.3537,-65.1763,2.5,6,7,U.S. Virgin Islands,18,96,7/29/2016 8:06,2016
29,15.1,0.217,143,17,us100068k3,59.5902,-138.9988,2.5,45,7,Alaska,35,96,7/29/2016 17:45,2016
30,18,0.44017449,316.8,14,pr16212006,17.7695,-67.5,2.5,28,7,Puerto Rico,0,96,7/30/2016 14:28,2016
31,5,0.086,72,2,us100068xn,36.1735,-96.8148,2.5,40,7,Oklahoma,25,96,7/31/2016 2:40,2016
31,78.5,0,50.39999597,3,ak13820121,59.9736,-152.5678,2.5,26,7,Alaska,4,96,7/31/2016 3:26,2016
1,34,0.73751685,284.4,9,pr16214003,19.0907,-65.0215,2.5,24,8,U.S. Virgin Islands,58,96,8/1/2016 9:24,2016
1,156.44,0.231,187,10,us100069c7,51.9782,-175.7369,2.5,33,8,Alaska,21,96,8/1/2016 10:33,2016
2,6.4,0,93.59999251,10,ak13827448,56.2214,-158.8809,2.5,53,8,Alaska,50,96,8/2/2016 10:53,2016
3,101.3,0,57.59999539,19,ak13829415,59.8442,-152.8763,2.5,6,8,Alaska,35,96,8/3/2016 19:06,2016
3,14,0,0,23,ak13829524,52.7208,-166.6369,2.5,15,8,Alaska,58,96,8/3/2016 23:15,2016
4,35.2,0,0,2,ak13829640,51.3579,-177.0699,2.5,22,8,Alaska,52,96,8/4/2016 2:22,2016
4,9.6,0,0,19,ak13830699,61.9472,-150.0608,2.5,5,8,Alaska,35,96,8/4/2016 19:05,2016
5,6.52,0.206,18,16,us10006bkf,36.2788,-97.5157,2.5,20,8,Oklahoma,7,96,8/5/2016 16:20,2016
6,9.1,0.192,43.85,3,nn00554907,38.2573,-118.7487,2.5,0,8,Nevada,17,97,8/6/2016 3:00,2016
6,6.44,0.74,36,7,us20006trl,38.2708,-102.6713,2.5,19,8,Colorado,21,96,8/6/2016 7:19,2016
